City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
391,Linares,-35.85,-71.6,62.37,62,0,0.76,CL,2022-02-14 01:46:05
392,Guaruja,-23.9931,-46.2564,80.17,26,0,1.01,BR,2022-02-14 01:46:06
393,Adrar,20.5022,-10.0711,59.85,24,95,10.83,MR,2022-02-14 01:46:06
394,Lyngseidet,69.5763,20.2189,24.89,90,100,9.62,NO,2022-02-14 01:46:07
395,Santa Isabel Do Rio Negro,-0.4139,-65.0192,73.42,96,88,1.52,BR,2022-02-14 01:46:07
396,Yulara,-25.2406,130.9889,91.24,13,2,12.66,AU,2022-02-14 01:46:08
397,Evanston,42.0411,-87.6901,15.48,56,94,1.01,US,2022-02-14 01:45:02
398,Namibe,-15.1961,12.1522,73.69,84,100,1.68,AO,2022-02-14 01:42:27
399,Gejiu,23.306,103.1635,44.78,78,47,4.52,CN,2022-02-14 01:46:09
400,Urucara,-2.5364,-57.76,74.07,96,100,2.24,BR,2022-02-14 01:46:09
401,Polyarnyy,69.1989,33.4478,21.67,93,100,16.69,RU,2022-02-14 01:46:10
402,Angoche,-16.2325,39.9086,76.08,92,95,5.17,MZ,2022-02-14 01:46:10
403,Kruisfontein,-34.0033,24.7314,65.88,92,100,11.9,ZA,2022-02-14 01:46:11
404,Roald,62.5833,6.1333,37.33,87,100,28.77,NO,2022-02-14 01:46:11
405,Kholtoson,50.2981,103.3097,-6.59,92,100,0.47,RU,2022-02-14 01:46:12
406,Bouar,5.934,15.596,67.96,19,100,5.68,CF,2022-02-14 01:46:13
407,Saint-Pierre,-21.3393,55.4781,78.48,73,0,3.44,RE,2022-02-14 01:46:13
408,Moncada,39.5456,-0.3955,60.08,70,75,13.0,ES,2022-02-14 01:46:13
409,Los Zacatones,22.95,-102.05,56.64,56,81,16.98,MX,2022-02-14 01:46:14
410,Jumla,29.2747,82.1838,31.51,62,0,6.2,NP,2022-02-14 01:46:14
