City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Liepaja,LV,56.5419,21.0367,35.65,87,0,13.8,clear sky
144,Papetoai,PF,-17.4961,-149.8729,80.19,75,88,15.7,overcast clouds
145,Sibu,MY,2.3,111.8167,84.51,74,40,2.3,scattered clouds
146,Annau,TM,37.8876,58.516,36.9,81,100,11.5,overcast clouds
147,Chapais,CA,49.7834,-74.8492,-27.62,100,91,1.88,overcast clouds
148,Vrangel,RU,42.7297,133.0839,24.51,42,94,5.88,overcast clouds
149,Gunjur,GM,13.2019,-16.7339,68.07,52,23,5.75,few clouds
150,Yola,NG,9.2,12.4833,71.64,22,76,2.75,broken clouds
151,Hamilton,US,39.1834,-84.5333,19.72,78,0,8.05,clear sky
152,Paramonga,PE,-10.6667,-77.8333,71.35,82,98,7.14,overcast clouds
153,Imeni Babushkina,RU,59.7573,43.1285,26.44,93,100,9.31,overcast clouds
154,Antalaha,MG,-14.9003,50.2788,75.0,88,64,3.65,broken clouds
155,Kuusamo,FI,65.9667,29.1833,30.24,93,100,8.05,overcast clouds
156,Gornopravdinsk,RU,60.05,69.9,3.4,96,100,3.36,overcast clouds
157,Podyuga,RU,61.095,40.8647,26.4,94,100,9.37,overcast clouds
158,Lompoc,US,34.6391,-120.4579,64.56,100,100,0.0,mist
159,Berlevag,NO,70.8578,29.0864,17.6,89,100,14.83,light snow
160,Kavieng,PG,-2.5744,150.7967,83.68,73,92,5.79,light rain
161,Tessalit,ML,20.1986,1.0114,57.49,26,32,9.82,scattered clouds
162,Talnakh,RU,69.4865,88.3972,-7.37,70,10,8.66,clear sky
163,Jawhar,SO,2.7809,45.5005,72.97,76,57,12.75,broken clouds
164,Mandalgovi,MN,45.7625,106.2708,-0.54,82,81,10.56,broken clouds
165,Innisfail,AU,-17.5333,146.0333,86.22,85,63,12.64,light rain
166,Sisimiut,GL,66.9395,-53.6735,-0.65,89,99,14.92,overcast clouds
167,Alta Floresta,BR,-9.8756,-56.0861,70.59,98,87,2.98,overcast clouds
168,Kitimat,CA,54.0524,-128.6534,39.58,99,100,2.82,overcast clouds
169,Bay Roberts,CA,47.5999,-53.2648,31.33,83,100,8.99,overcast clouds
170,Victoria,HK,22.2855,114.1577,69.24,66,29,8.01,scattered clouds
171,Sitka,US,57.0531,-135.33,42.69,81,100,10.36,overcast clouds
172,Temple,US,31.0982,-97.3428,53.65,40,0,5.75,clear sky
173,Saldanha,ZA,-33.0117,17.9442,64.45,88,0,12.44,clear sky
174,Egvekinot,RU,66.3167,-179.1667,-18.9,90,12,7.63,few clouds
175,Melong,CM,5.1218,9.9614,65.64,60,2,1.88,clear sky
176,Airai,TL,-8.9266,125.4092,74.86,56,26,2.57,scattered clouds
177,Khani,GE,41.9563,42.9566,36.97,79,100,6.89,overcast clouds
178,Kondagaon,IN,19.6,81.6667,72.03,17,3,2.84,clear sky
179,Salinas,US,36.6777,-121.6555,65.57,90,40,8.05,fog
180,Port Elizabeth,ZA,-33.918,25.5701,66.49,100,100,5.75,light rain
181,Mill Valley,US,37.906,-122.545,65.12,80,94,6.71,overcast clouds
182,Vardo,NO,70.3705,31.1107,17.8,79,100,13.89,overcast clouds
183,Esperance,AU,-33.8667,121.9,76.84,57,68,13.27,broken clouds
184,Hinton,CA,53.4001,-117.5857,35.64,98,100,2.28,overcast clouds
185,Sandy Bay,AU,-42.913,147.3532,72.05,61,99,1.01,overcast clouds
186,Hasaki,JP,35.7333,140.8333,45.28,55,100,25.59,overcast clouds
187,Ripoll,ES,42.2006,2.1903,48.72,83,100,5.59,overcast clouds
188,Springfield,US,37.2153,-93.2982,29.43,63,0,1.01,clear sky
189,Papara,BR,-3.9839,-38.7273,81.0,96,19,2.48,few clouds
190,San Carlos De Bariloche,AR,-41.1456,-71.3082,65.95,45,0,18.41,clear sky
191,Poum,NC,-20.2333,164.0167,82.94,76,94,9.62,overcast clouds
192,Khyriv,UA,49.5333,22.8524,31.64,82,1,5.59,clear sky
193,Kirovskiy,RU,45.0917,133.5136,10.67,85,100,3.71,overcast clouds
194,Sao Pedro Do Sul,BR,-29.6206,-54.1789,56.05,38,0,1.45,clear sky
195,Marienburg,PL,54.0359,19.0266,37.06,75,97,14.92,overcast clouds
196,Sur,OM,22.5667,59.5289,70.65,69,1,16.8,clear sky
197,Eureka,US,40.8021,-124.1637,53.67,92,100,1.03,overcast clouds
198,Krasnovishersk,RU,60.4078,57.082,-2.02,100,97,1.14,overcast clouds
199,Rafaela,AR,-31.2503,-61.4867,65.98,43,0,4.81,clear sky
200,Almaznyy,RU,48.0448,40.045,21.34,84,4,2.06,clear sky
201,Yarensk,RU,62.1675,49.0916,-4.47,100,100,3.69,overcast clouds
202,Lincoln,US,40.8,-96.667,32.16,52,0,6.91,clear sky
203,College,US,64.8569,-147.8028,7.59,81,100,4.61,light snow
204,Oranjemund,NA,-28.55,16.4333,63.86,94,17,6.69,light rain
205,Gizo,SB,-8.103,156.8419,83.77,71,70,7.45,light rain
206,Waingapu,ID,-9.6567,120.2641,85.53,67,80,10.69,broken clouds
207,Flin Flon,CA,54.7682,-101.865,-11.6,98,88,4.5,overcast clouds
208,Dikson,RU,73.5069,80.5464,-5.8,91,70,22.32,broken clouds
209,Te Anau,NZ,-45.4167,167.7167,70.18,44,100,1.59,overcast clouds
